capacity,eightd_has_key_dispenser,electric_bike_surcharge_waiver,external_id,has_kiosk,lat,lon,name,region_id,short_name,station_id,station_type
19,false,false,08254f20-1f3f-11e7-bf6b-3863bb334450,true,38.90849,-77.063586,Wisconsin Ave & O St NW,42,31312,08254f20-1f3f-11e7-bf6b-3863bb334450,classic
19,false,false,08247ed8-1f3f-11e7-bf6b-3863bb334450,true,38.861663,-76.969184,Marion Barry Ave & Naylor Rd SE,42,31700,08247ed8-1f3f-11e7-bf6b-3863bb334450,classic
39,false,false,08247522-1f3f-11e7-bf6b-3863bb334450,true,38.929464,-77.027822,11th & Kenyon St NW,42,31102,08247522-1f3f-11e7-bf6b-3863bb334450,classic
19,false,false,cd1394fa-9d06-4665-bd1c-d7580d97a550,true,38.925636,-77.027112,11th & Girard St NW,42,31126,cd1394fa-9d06-4665-bd1c-d7580d97a550,classic
15,false,false,0825f58d-1f3f-11e7-bf6b-3863bb334450,true,38.869442,-77.104503,Arlington Blvd & S George Mason Dr,41,31078,0825f58d-1f3f-11e7-bf6b-3863bb334450,classic
19,false,false,0824c8d2-1f3f-11e7-bf6b-3863bb334450,true,38.908905,-77.04478,20th & O St NW / Dupont South,42,31234,0824c8d2-1f3f-11e7-bf6b-3863bb334450,classic
11,false,false,0824a988-1f3f-11e7-bf6b-3863bb334450,true,38.916442,-77.0682,34th St & Wisconsin Ave NW,42,31226,0824a988-1f3f-11e7-bf6b-3863bb334450,classic
19,false,false,0cabc1c7-cf6f-4afd-9242-c011b77f6330,true,38.83664578175751,-76.99358886515256,Valley Ave & Wheeler Rd SE,42,31824,0cabc1c7-cf6f-4afd-9242-c011b77f6330,classic
21,false,false,0824a68f-1f3f-11e7-bf6b-3863bb334450,true,38.878693599396954,-77.02305436134338,Maine Ave & 7th St SW,42,31609,0824a68f-1f3f-11e7-bf6b-3863bb334450,classic
15,false,false,08247dd0-1f3f-11e7-bf6b-3863bb334450,true,38.8896,-76.9769,19th & East Capitol St SE,42,31601,08247dd0-1f3f-11e7-bf6b-3863bb334450,classic
33,false,false,0824b9cc-1f3f-11e7-bf6b-3863bb334450,true,38.8997,-77.023086,8th & H St NW,42,31228,0824b9cc-1f3f-11e7-bf6b-3863bb334450,classic
15,false,false,082546fc-1f3f-11e7-bf6b-3863bb334450,true,38.846222,-77.069275,28th St & S Meade St,41,31055,082546fc-1f3f-11e7-bf6b-3863bb334450,classic
19,false,false,9f86df22-57d4-498a-ab35-2d3fb76e4723,true,38.84154815912996,-77.10773438215256,N. Beauregard St. & Berkley St.,40,31928,9f86df22-57d4-498a-ab35-2d3fb76e4723,classic
15,false,false,082651f8-1f3f-11e7-bf6b-3863bb334450,true,39.035965,-77.048395,Amherst Ave & Prichard Rd,44,32064,082651f8-1f3f-11e7-bf6b-3863bb334450,classic
23,false,false,0825fc3a-1f3f-11e7-bf6b-3863bb334450,true,38.903649,-77.034918,15th & L St NW,42,31276,0825fc3a-1f3f-11e7-bf6b-3863bb334450,classic
15,false,false,a10f8bfa-1324-411c-b358-3fbd94eff32b,true,38.898097,-77.023924,9th & G St NW,42,30201,a10f8bfa-1324-411c-b358-3fbd94eff32b,classic
19,false,false,08249e19-1f3f-11e7-bf6b-3863bb334450,true,38.897293,-77.05557,Kennedy Center,42,31211,08249e19-1f3f-11e7-bf6b-3863bb334450,classic
19,false,false,08247632-1f3f-11e7-bf6b-3863bb334450,true,38.9228491613136,-77.04252451658249,Adams Mill & Columbia Rd NW,42,31104,08247632-1f3f-11e7-bf6b-3863bb334450,classic
23,false,false,efe6a4e1-5900-46d6-9755-db074f87c5c2,true,38.923389,-77.051833,Woodley Park Metro / Calvert St & Connecticut Ave NW,42,31323,efe6a4e1-5900-46d6-9755-db074f87c5c2,classic
23,false,false,0824f644-1f3f-11e7-bf6b-3863bb334450,true,38.905995699991145,-77.03980207443237,Rhode Island & Connecticut Ave NW,42,31239,0824f644-1f3f-11e7-bf6b-3863bb334450,classic
11,false,false,08258395-1f3f-11e7-bf6b-3863bb334450,true,38.98954,-77.098029,Cordell & Norfolk Ave,44,32008,08258395-1f3f-11e7-bf6b-3863bb334450,classic
15,false,false,d49c5d1b-d02b-4c35-b60d-ed3cc6d51479,true,38.866277,-77.010551,Half & Water St SW,42,31664,d49c5d1b-d02b-4c35-b60d-ed3cc6d51479,classic
23,false,false,0825fe4c-1f3f-11e7-bf6b-3863bb334450,true,38.907908,-76.99707,Union Market,42,31517,0825fe4c-1f3f-11e7-bf6b-3863bb334450,classic
25,false,false,08263241-1f3f-11e7-bf6b-3863bb334450,true,38.901136451737045,-77.03445106744766,Vermont Ave & I St NW,42,31291,08263241-1f3f-11e7-bf6b-3863bb334450,classic
19,false,false,08258785-1f3f-11e7-bf6b-3863bb334450,true,38.983627,-77.006311,Maple & Ritchie Ave,44,32011,08258785-1f3f-11e7-bf6b-3863bb334450,classic
19,false,false,0825f344-1f3f-11e7-bf6b-3863bb334450,true,38.88992,-77.071301,Iwo Jima Memorial / Meade & 14th St N,41,31077,0825f344-1f3f-11e7-bf6b-3863bb334450,classic
